@id,accessScheme,contentType,parentPid,publishScheme,title,hasData_@id,hasData_checksum_checksumValue,hasData_fileLabel,hasData_format,hasData_size,isDescribedBy_created,isDescribedBy_createdBy,isDescribedBy_lastModifiedBy,isDescribedBy_modified
frl:6472897,public,file,frl:6472896,public,['CAR-T Tox: CRS/ICANS - Leitfaden UPDATE'],frl:6472897/data,fe3d8f4a1c1f3e6d0246c8432a18bc26,Pocket Card CARTOX V1.5.pdf,application/pdf,800090,2024-01-04T08:11:45.127+0100,339,339,2024-01-08T13:11:16.394+0100
frl:6472898,public,file,frl:6472886,public,['ค่าคะแนน EQUAL แอสเปอร์จิลโลสิส 2018'],frl:6472898/data,32c697782e9128d35e28a9d5504fff9f,EQUAL Scorecard Aspergillosis 2018_Thai_final.pdf,application/pdf,578306,2024-01-05T08:30:42.806+0100,339,339,2024-01-10T16:24:59.865+0100
frl:6472899,public,file,frl:6472887,public,['ค่าคะแนน EQUAL คริปโตคอคโคสิส 2018'],frl:6472899/data,3341a8d6a1f2cb4e68168db7699024e9,EQUAL Scorecard Cryptococcus 2018_Thai_final.pdf,application/pdf,766094,2024-01-05T08:34:34.435+0100,339,339,2024-01-10T16:26:43.634+0100
frl:6472900,public,file,frl:6472888,public,['EQUAL Mucormycosis Score 2018 - Thailändisch [HT030624602]'],frl:6472900/data,83090da188b8f1224c156206a6003ccb,EQUAL Scorecard Mucor 2018_Thai_final.pdf,application/pdf,654547,2024-01-05T08:47:30.677+0100,339,339,2024-01-10T16:28:05.616+0100
frl:6472902,public,file,frl:6472890,public,['EQUAL Trichosporon Score 2022 - Portugiesisch'],frl:6472902/data,86d3f9b6430b702118c75469d5d58c18,EQUAL Scorecard Trichosporon 2022 Portuguese_final.pdf,application/pdf,376712,2024-01-05T11:55:13.449+0100,339,339,2024-01-10T16:30:16.377+0100
frl:6472903,public,file,frl:6472891,public,['Escala EQUAL 2022 para Trichosporon - Spanisch'],frl:6472903/data,f4aae46851ee892c169b38d5f791f1ab,EQUAL Scorecard Trichosporon 2022 Spanish_final.pdf,application/pdf,351880,2024-01-05T13:43:19.211+0100,339,339,2024-01-10T16:31:33.224+0100
frl:6472905,public,file,frl:6472893,public,['EQUAL CPA Score 2022 – Portugiesisch [HT030625966]'],frl:6472905/data,4409812bb3755a73ea6b889a7fdabebd,EQUAL Score Card CPA_2022_Portuguese_final.pdf,application/pdf,1612377,2024-01-05T15:56:05.202+0100,339,339,2024-01-10T16:34:57.712+0100
frl:6472906,public,file,frl:6472894,public,['Escala EQUAL 2022 para Aspergilosis Pulmonar Crónica - Spanisch'],frl:6472906/data,7b6f3a25bb517636e14e01a71b696e2e,EQUAL Score Card CPA_2022 12 19_Spanish_final.pdf,application/pdf,1674867,2024-01-05T16:00:37.663+0100,339,339,2024-01-10T16:37:13.447+0100
frl:6472907,public,file,frl:6472895,public,['EQUAL CPA Score 2022 - Thailändisch'],frl:6472907/data,7ad597eaaa6f50555245b5399c13fab6,EQUAL Score Card CPA_Thai_final.pdf,application/pdf,1632581,2024-01-08T07:57:39.288+0100,339,339,2024-01-16T08:51:33.102+0100
frl:6472910,public,file,frl:6472909,public,['Age-related differences in fMRI subsequent memory effects are directly linked to local grey matter volume differences '],frl:6472910/data,4880f83c3fc764ba01ff9bf155a71d78,1-s2.0-S0197458023002749-main-1.pdf,application/pdf,3802854,2024-01-09T15:08:15.682+0100,242,317,2024-02-23T10:57:11.202+0100
