@id,accessScheme,contentType,parentPid,publishScheme,hasData_checksum_checksumValue,hasData_fileLabel,hasData_format,hasData_size,isDescribedBy_created,isDescribedBy_createdBy
frl:6489464,public,file,frl:6489463,public,c490ca6b23c5e4048f1eb0b231050990,LfULG_Schriftenreihe_11_2024.pdf,application/pdf,13647585,2025-01-08T14:06:26.786+0100,18.0
frl:6489469,public,file,frl:6489468,public,6aded9fcd83c7bd62084ac33d985540e,LfULG_Schriftenreihe_14_2024.pdf,application/pdf,7371321,2025-01-13T13:54:48.409+0100,18.0
frl:6489471,public,file,frl:6489470,public,5ab54c8303318337881f293718f694f7,LfULG_Schriftenreihe_13_2024.pdf,application/pdf,1580236,2025-01-13T14:05:47.602+0100,18.0
frl:6489473,public,file,frl:6489472,public,28c5a18561c612ba8108ea7f9eda88c1,FOM-Forschung-ifgs-Schriftenreihe-31-Behrens-et-al-Bildung-2024.pdf,application/pdf,7959219,2025-01-13T15:16:20.336+0100,26.0
frl:6489478,public,file,frl:6489467,public,eb6626b1c7f0ff5799d688640852cb76,IGB_Dossier_Naehrstoffbelastung_Arendsee_final.pdf,application/pdf,3393073,2025-01-16T09:10:55.128+0100,339.0
frl:6489485,public,file,frl:6489484,public,493dd798eda3595264a29ec8faa61561,Smith-et-al_2024_Development and external validation of a head and neck cancer risk prediction model.pdf,application/pdf,1830400,2025-01-17T12:52:06.059+0100,266.0
frl:6489487,public,file,frl:6489486,public,ee04435c7a2a88e16289e90723878329,Study on the implementation of Artikel 17 of Regulation_bf.pdf,application/pdf,880519,2025-01-17T13:08:52.671+0100,339.0
frl:6489489,public,file,frl:6489488,public,0d58e0d75a64ce7d0b191141f50b7eaa,Study supporting the monitoring of the avaliabiliy_bf.pdf,application/pdf,926641,2025-01-17T14:18:59.941+0100,339.0
frl:6489491,public,file,frl:6489490,public,3fc9dcf445379d16f17a23e6e7aa0358,Glossary of single-use devices_bf.pdf,application/pdf,760166,2025-01-17T14:46:51.416+0100,339.0
frl:6489493,public,file,frl:6489492,public,e6f57a6c760fe1c6ac9d7a43de263b92,MD_Availability_Glossary_HaDEA_2021_bf.pdf,application/pdf,497671,2025-01-17T14:50:36.799+0100,339.0
frl:6489495,public,file,frl:6489475,public,f13f55953569af5ab6bdcdb4bb8bc833,Abstractband_Fachtagung der Frühen Hilfen Salzburg.pdf,application/pdf,791400,2025-01-21T08:34:56.345+0100,339.0
frl:6489497,public,file,frl:6489496,public,b1dc31d83e0db7873105481ef5e24fa9,Ophey-et-al_2024_Mid- and late-life lifestyle activities.pdf,application/pdf,1458343,2025-01-21T09:23:50.059+0100,266.0
frl:6489500,public,file,frl:6489499,public,b6322914389c08973ea898f7e408a6fd,Pigeot-et-al_2024_Making epidemiological and clinical studies.pdf,application/pdf,493417,2025-01-21T11:18:43.461+0100,266.0
frl:6489504,public,file,frl:6489503,public,ad4f810b648214876edb75e57a971f2f,Mikolajczyk-et-al_2024_Likelihood of Post-COVID Condition.pdf,application/pdf,708956,2025-01-21T12:33:51.783+0100,266.0
frl:6489509,public,file,frl:6489507,public,1b0fbc18fd06b9faccecab98d5faed95,DSO-Jahresbericht 2022.pdf,application/pdf,4983014,2025-01-22T10:49:06.394+0100,339.0
frl:6489511,public,file,frl:6489510,public,53249e6c4521ceb1626709d973b4d281,Baumartenmischungstabelle.pdf,application/pdf,17791185,2025-01-22T11:00:18.859+0100,22.0
frl:6489513,public,file,frl:6489512,public,dcf21170449025a96f6517a1ed0b9e9f,tfz_bericht_86_silphiedemo_a.pdf,application/pdf,16317619,2025-01-22T11:05:59.436+0100,22.0
frl:6489515,public,file,frl:6489514,public,5d6105b12d9ac08fa977bc7654efb1a2,57_2024_cc_Synergien.pdf,application/pdf,2655556,2025-01-22T11:10:05.334+0100,22.0
frl:6489517,public,file,frl:6489516,public,908a4be55c0bb1acaa55f24b873d9c3a,02_2025_cc_Funding_Annex.pdf,application/pdf,2197108,2025-01-22T11:13:29.641+0100,22.0
frl:6489519,public,file,frl:6489508,public,55463e44d2f84c0bdf2b5d6398274f85,sciadv.adl5602.pdf,application/pdf,1204988,2025-01-22T11:16:59.314+0100,242.0
frl:6489520,public,file,frl:6489518,public,b282b0aca28b960087583b8a2aa07939,01_2025_cc_Funding_report.pdf,application/pdf,2733274,2025-01-22T11:17:11.166+0100,22.0
frl:6489522,public,file,frl:6489505,public,810042391535386481d367e8d015204e,efs76.pdf,application/pdf,19606236,2025-01-22T11:26:04.711+0100,22.0
frl:6489523,public,file,frl:6489521,public,17abf367112610d14c5d064b481dabf4,177_2024_texte_Pflanzenschutz.pdf,application/pdf,1483429,2025-01-22T11:33:06.470+0100,22.0
frl:6489529,public,file,frl:6489528,public,3ebdac20064af59cfb2569cb8e253ba1,s41380-024-02780-6.pdf,application/pdf,2809118,2025-01-23T11:11:15.604+0100,242.0
frl:6489531,public,file,frl:6489530,public,65912f6b4c9114b735164e763e35f77d,Food Science   Nutrition - 2024 - Hartman‐Petrycka - Who likes meat  fish  and seafood  Influence of sex  age  body mass (2).pdf,application/pdf,1318893,2025-01-24T11:43:37.900+0100,286.0
frl:6489533,public,file,frl:6489532,public,2a6d3e194987894f22e387f089c97fd8,Dello Russo-et-al_2024_Dietary advanced glycation end products.pdf,application/pdf,477285,2025-01-24T11:44:46.871+0100,266.0
frl:6489535,public,file,frl:6489534,public,84d9dbfc586dc96d6b9a72119afcc605,Kolovelonis-et-al_2024_DE-PASS_Determinants_of_adolescents_device_based_PA-SB_a_SRMA.pdf,application/pdf,5704325,2025-01-24T12:16:18.286+0100,266.0
frl:6489537,public,file,frl:6489536,public,a281f5a7c6a53d178801bf98ee10fd57,Food Science   Nutrition - 2024 - Karkar - Encapsulation of Lacticaseibacillus casei and Lactobacillus acidophilus using.pdf,application/pdf,2560341,2025-01-24T12:23:52.633+0100,286.0
frl:6489539,public,file,frl:6489538,public,541a1f73521439211b526b1a6dec26d5,Okraszewska-et-al_2024_Interventions reducing car usage.pdf,application/pdf,1332804,2025-01-24T12:29:03.224+0100,266.0
frl:6489542,public,file,frl:6489541,public,f3d621d667ea7caf70e53ca8240885af,Food Science   Nutrition - 2024 - Cabrera‐Ramírez - Synthesis and evaluation of Maillard conjugates for encapsulation and.pdf,application/pdf,5071955,2025-01-24T12:56:53.274+0100,286.0
frl:6489544,public,file,frl:6489543,public,f9c75ea8c1c08d620271cd91624182eb,Food Science   Nutrition - 2024 - Bozkurt - Factors affecting food addiction  emotional eating  palatable eating.pdf,application/pdf,397358,2025-01-24T13:28:52.591+0100,286.0
frl:6489545,public,file,frl:6489540,public,b14782b7267135e1dcf9daa79d795692,Schubert_DFG_Abschlussbericht_public.pdf,application/pdf,573385,2025-01-27T08:54:44.967+0100,339.0
frl:6489547,public,file,frl:6489546,public,cb3dbcbe986a1e1bc07fd9d56fa782ea,Food Science   Nutrition - 2024 - Azamian - The effect of synbiotic supplementation on plasma levels of advanced glycation.pdf,application/pdf,440087,2025-01-27T10:59:31.767+0100,286.0
frl:6489549,public,file,frl:6489548,public,b596eff783cf4616207ca8aa182a3dac,Food Science   Nutrition - 2024 - Dong - Garlic peel extract as an antioxidant inhibits triple‐negative breast tumor growth.pdf,application/pdf,3289281,2025-01-27T11:33:52.800+0100,286.0
frl:6489551,public,file,frl:6489550,public,e6143bbe19aa914b31fd5e1d907358dc,Food Science   Nutrition - 2024 - Binici - Comparison of antioxidant  phenolic profile  melatonin  and volatile compounds.pdf,application/pdf,376764,2025-01-27T12:10:59.879+0100,286.0
frl:6489553,public,file,frl:6489552,public,9f393d043931552792b35b8a31e26537,Food Science   Nutrition - 2024 - Aghajani - The effect of myo‐inositol supplementation on AMPK PI3K AKT pathway and.pdf,application/pdf,1811768,2025-01-27T12:50:10.250+0100,286.0
frl:6489555,public,file,frl:6489554,public,fc5a52ba7325c39837490fc495b3349d,Food Science   Nutrition - 2024 - Fan - Distribution of phthalate esters and their metabolites in peanut plant during the.pdf,application/pdf,2114107,2025-01-28T09:47:45.775+0100,286.0
frl:6489557,public,file,frl:6489556,public,2ff45abdfbc5f817f4aa303d7909dcef,Food Science   Nutrition - 2024 - Yang - The Healthy Eating Index 2020 components contributed unequally to systemic.pdf,application/pdf,3143237,2025-01-28T10:25:22.935+0100,286.0
frl:6489559,public,file,frl:6489558,public,04136317727533849fcdf54fb6ffa4fb,Food Science   Nutrition - 2024 - Hong - The potential protective effects of probiotics  prebiotics  or yogurt on chronic.pdf,application/pdf,595541,2025-01-28T10:52:13.828+0100,286.0
frl:6489561,public,file,frl:6489560,public,9432128d11a8a471fbc9d701982e2702,Food Science   Nutrition - 2024 - Haghani - In vitro evaluation of milk incorporated with Eryngium billardieri Delar.pdf,application/pdf,452044,2025-01-28T11:24:32.999+0100,286.0
frl:6489567,public,file,frl:6489566,public,f7c9c744a96b7a9f8e8c7dc2fc755313,Boot-et-al_2024_Fruits and vegetables intake and bladder cancer risk.pdf,application/pdf,890376,2025-01-28T12:05:06.109+0100,266.0
frl:6489569,public,file,frl:6489568,public,05c85d14fa5a6dc092f1f88c723c220c,Food Science   Nutrition - 2024 - Unver - Elucidating the antimicrobial and anticarcinogenic potential of methanolic and.pdf,application/pdf,6473122,2025-01-28T12:09:03.334+0100,286.0
